Time (sec),Force (N),Position (mm),Stress (Pa),Strain (%)
10.6,31.2,0.0302,268000,0.0302
10.7,33.2,0.0388,285000,0.0388
10.7,35.0,0.0474,300000,0.0475
10.8,35.8,0.0559,307000,0.0559
10.8,38.3,0.0644,329000,0.0644
10.9,40.8,0.0730,350000,0.0730
10.9,42.9,0.0814,369000,0.0815
11.0,44.6,0.0900,383000,0.0900
11.0,45.8,0.0985,393000,0.0985
11.1,46.9,0.107,402000,0.107
11.1,47.1,0.115,404000,0.115
11.2,47.8,0.124,411000,0.124
11.2,48.0,0.132,412000,0.133
11.3,49.1,0.141,421000,0.141
11.3,50.4,0.150,432000,0.150
11.4,52.7,0.158,452000,0.158
11.4,54.6,0.166,469000,0.167
11.5,56.7,0.175,487000,0.175
11.5,60.5,0.183,520000,0.184
11.6,65.1,0.192,559000,0.192
11.6,70.4,0.201,605000,0.201
11.7,76.3,0.209,655000,0.209
11.7,82.1,0.217,705000,0.218
11.8,88.0,0.226,755000,0.226
11.8,93.4,0.235,802000,0.235
11.9,99.0,0.243,850000,0.243
11.9,105,0.252,900000,0.252
12.0,111,0.260,952000,0.260
12.1,117,0.269,1010000,0.269
12.1,125,0.277,1070000,0.277
12.2,132,0.286,1130000,0.286
12.2,139,0.294,1190000,0.294
12.3,147,0.303,1260000,0.303
12.3,154,0.311,1320000,0.311
12.4,161,0.320,1390000,0.320
12.4,170,0.328,1460000,0.328
12.5,178,0.337,1530000,0.337
12.5,186,0.345,1600000,0.345
12.6,195,0.354,1680000,0.354
12.6,204,0.362,1750000,0.363
12.7,214,0.371,1840000,0.371
12.7,226,0.379,1940000,0.380
12.8,239,0.388,2050000,0.388
12.8,253,0.396,2170000,0.397
12.9,267,0.405,2290000,0.405
12.9,281,0.413,2410000,0.414
13.0,295,0.422,2530000,0.422
13.0,309,0.430,2650000,0.431
13.1,322,0.439,2760000,0.439
13.1,335,0.447,2880000,0.448
13.2,350,0.456,3010000,0.456
13.2,365,0.465,3140000,0.465
13.3,380,0.473,3260000,0.473
13.3,394,0.482,3380000,0.482
13.4,408,0.490,3500000,0.490
13.4,422,0.499,3620000,0.499
13.5,437,0.507,3760000,0.507
13.5,453,0.516,3890000,0.516
13.6,468,0.524,4020000,0.525
13.6,486,0.533,4170000,0.533
13.7,504,0.541,4330000,0.542
13.7,523,0.550,4490000,0.550
13.8,543,0.558,4660000,0.558
13.8,563,0.567,4830000,0.567
13.9,583,0.575,5010000,0.576
13.9,603,0.584,5180000,0.584
14.0,623,0.593,5340000,0.593
14.0,642,0.601,5510000,0.601
14.1,661,0.609,5680000,0.610
14.1,681,0.618,5850000,0.618
14.2,700,0.626,6010000,0.627
14.2,720,0.635,6180000,0.635
14.3,741,0.643,6360000,0.644
14.4,761,0.652,6530000,0.652
14.4,782,0.660,6710000,0.661
14.5,804,0.669,6900000,0.669
14.5,826,0.677,7090000,0.678
14.6,849,0.686,7280000,0.686
14.6,871,0.695,7480000,0.695
14.7,893,0.703,7670000,0.703
14.7,916,0.711,7860000,0.712
14.8,940,0.720,8070000,0.721
14.8,962,0.729,8250000,0.729
14.9,985,0.737,8460000,0.737
14.9,1010,0.746,8680000,0.746
15.0,1040,0.754,8890000,0.754
15.0,1060,0.763,9120000,0.763
15.1,1090,0.771,9370000,0.772
15.1,1120,0.780,9620000,0.780
15.2,1150,0.788,9890000,0.788
15.2,1180,0.797,10200000,0.797
15.3,1220,0.805,10400000,0.806
15.3,1250,0.814,10700000,0.814
15.4,1280,0.822,11000000,0.823
15.4,1320,0.831,11300000,0.831
15.5,1350,0.839,11600000,0.840
15.5,1380,0.848,11900000,0.848
15.6,1410,0.856,12100000,0.857
15.6,1450,0.865,12400000,0.865
15.7,1480,0.873,12700000,0.874
15.7,1510,0.882,13000000,0.882
15.8,1550,0.890,13300000,0.891
15.8,1580,0.899,13600000,0.899
15.9,1610,0.907,13800000,0.908
15.9,1650,0.916,14200000,0.916
16.0,1690,0.924,14500000,0.925
16.0,1720,0.933,14800000,0.933
16.1,1760,0.941,15100000,0.942
16.1,1800,0.950,15500000,0.950
16.2,1840,0.958,15800000,0.959
16.2,1880,0.967,16100000,0.967
16.3,1920,0.975,16500000,0.976
