Time (sec),Force (N),Position (mm),Stress (Pa),Strain (%)
3.60,40.4,0.0283,318000,0.0281
3.60,40.5,0.0285,318000,0.0283
3.60,40.6,0.0287,319000,0.0285
3.60,40.6,0.0288,320000,0.0286
3.60,40.6,0.0290,320000,0.0288
3.60,40.7,0.0292,320000,0.0290
3.60,40.7,0.0293,321000,0.0291
3.61,40.8,0.0295,321000,0.0293
3.61,40.9,0.0297,322000,0.0295
3.61,41.0,0.0298,322000,0.0296
3.61,41.0,0.0300,323000,0.0298
3.61,41.1,0.0302,324000,0.0300
3.61,41.1,0.0303,324000,0.0301
3.61,41.2,0.0305,324000,0.0303
3.61,41.2,0.0307,325000,0.0305
3.61,41.3,0.0309,325000,0.0307
3.61,41.4,0.0310,326000,0.0308
3.62,41.4,0.0312,326000,0.0310
3.62,41.5,0.0314,327000,0.0312
3.62,41.6,0.0316,327000,0.0314
3.62,41.6,0.0317,328000,0.0315
3.62,41.7,0.0319,328000,0.0317
3.62,41.8,0.0321,329000,0.0319
3.62,41.8,0.0323,329000,0.0321
3.62,41.9,0.0325,329000,0.0323
3.62,41.9,0.0326,330000,0.0324
3.62,42.0,0.0328,330000,0.0326
3.63,42.0,0.0330,331000,0.0328
3.63,42.1,0.0332,331000,0.0330
3.63,42.2,0.0333,332000,0.0331
3.63,42.3,0.0335,333000,0.0333
3.63,42.4,0.0337,333000,0.0335
3.63,42.4,0.0339,334000,0.0337
3.63,42.5,0.0340,334000,0.0338
3.63,42.5,0.0342,335000,0.0340
3.63,42.6,0.0344,335000,0.0342
3.63,42.6,0.0345,335000,0.0343
3.64,42.7,0.0347,336000,0.0345
3.64,42.7,0.0348,336000,0.0346
3.64,42.8,0.0350,337000,0.0348
3.64,42.8,0.0352,337000,0.0350
3.64,42.9,0.0353,338000,0.0351
3.64,42.9,0.0355,338000,0.0353
3.64,43.0,0.0356,338000,0.0354
3.64,43.0,0.0358,339000,0.0356
3.64,43.1,0.0360,339000,0.0358
3.64,43.1,0.0361,339000,0.0359
3.65,43.1,0.0363,340000,0.0361
3.65,43.2,0.0365,340000,0.0363
3.65,43.3,0.0367,340000,0.0365
3.65,43.3,0.0368,341000,0.0366
3.65,43.4,0.0370,341000,0.0368
3.65,43.4,0.0372,342000,0.0370
3.65,43.5,0.0373,342000,0.0371
3.65,43.6,0.0375,343000,0.0373
3.65,43.6,0.0376,343000,0.0374
3.65,43.6,0.0378,344000,0.0376
3.66,43.7,0.0380,344000,0.0378
3.66,43.8,0.0381,345000,0.0379
3.66,43.9,0.0383,345000,0.0380
3.66,43.9,0.0384,346000,0.0381
3.66,43.9,0.0386,346000,0.0383
3.66,44.0,0.0388,346000,0.0385
3.66,44.1,0.0389,347000,0.0386
3.66,44.1,0.0391,347000,0.0388
3.66,44.2,0.0392,348000,0.0389
3.66,44.2,0.0394,348000,0.0391
3.67,44.3,0.0396,349000,0.0393
3.67,44.3,0.0397,349000,0.0394
3.67,44.4,0.0399,349000,0.0396
3.67,44.4,0.0401,350000,0.0398
3.67,44.5,0.0402,350000,0.0399
3.67,44.6,0.0404,351000,0.0401
3.67,44.6,0.0405,351000,0.0402
3.67,44.7,0.0407,352000,0.0404
3.67,44.7,0.0409,352000,0.0406
3.67,44.8,0.0411,352000,0.0408
3.68,44.9,0.0412,353000,0.0409
3.68,45.0,0.0414,354000,0.0411
3.68,45.1,0.0417,355000,0.0414
3.68,45.2,0.0419,356000,0.0416
3.68,45.3,0.0420,356000,0.0417
3.68,45.3,0.0422,357000,0.0419
3.68,45.4,0.0424,357000,0.0421
3.68,45.4,0.0425,357000,0.0422
3.68,45.5,0.0427,358000,0.0424
3.68,45.6,0.0429,359000,0.0426
3.69,45.7,0.0431,359000,0.0428
3.69,45.7,0.0432,360000,0.0429
3.69,45.8,0.0434,360000,0.0431
3.69,45.9,0.0436,362000,0.0433
3.69,46.0,0.0437,362000,0.0434
3.69,46.0,0.0439,362000,0.0436
3.69,46.0,0.0441,362000,0.0438
3.69,46.2,0.0443,363000,0.0440
3.69,46.2,0.0444,364000,0.0441
