Time (sec),Force (N),Position (mm),Stress (Pa),Strain (m/m)
13.2,18.3,0.0186,170000,0.000373
13.3,19.2,0.0263,178000,0.000528
13.4,20.3,0.0344,188000,0.000692
13.5,21.8,0.0423,202000,0.000850
13.6,23.2,0.0505,215000,0.00101
13.7,24.8,0.0585,230000,0.00117
13.8,26.6,0.0664,246000,0.00133
13.9,28.8,0.0745,267000,0.00150
14.0,31.1,0.0824,289000,0.00165
14.1,33.7,0.0904,312000,0.00182
14.2,35.9,0.0985,333000,0.00198
14.3,38.1,0.106,353000,0.00214
14.4,40.6,0.115,376000,0.00230
14.5,43.6,0.123,404000,0.00246
14.6,46.4,0.130,430000,0.00262
14.7,49.4,0.139,458000,0.00278
14.8,52.6,0.147,487000,0.00294
14.9,56.7,0.155,525000,0.00310
15.0,61.3,0.163,568000,0.00327
15.1,65.9,0.171,611000,0.00343
15.1,71.2,0.179,660000,0.00359
15.2,76.6,0.187,710000,0.00375
15.3,82.6,0.195,766000,0.00391
15.4,89.3,0.203,828000,0.00407
15.5,96.2,0.211,892000,0.00423
15.6,103,0.219,958000,0.00439
15.7,111,0.227,1030000,0.00456
15.8,118,0.235,1100000,0.00472
15.9,127,0.243,1170000,0.00488
16.0,136,0.251,1260000,0.00504
16.1,145,0.259,1340000,0.00520
16.2,154,0.267,1430000,0.00536
16.3,163,0.275,1510000,0.00553
16.4,171,0.283,1590000,0.00569
16.5,180,0.291,1670000,0.00585
16.6,189,0.299,1750000,0.00601
16.7,198,0.307,1840000,0.00617
16.8,207,0.315,1920000,0.00633
16.9,217,0.323,2010000,0.00649
17.0,227,0.331,2100000,0.00665
17.1,237,0.339,2200000,0.00682
17.2,248,0.347,2300000,0.00697
17.3,259,0.355,2400000,0.00714
17.4,269,0.363,2500000,0.00730
17.5,280,0.371,2590000,0.00746
17.6,291,0.379,2700000,0.00762
17.7,301,0.387,2790000,0.00778
17.8,312,0.395,2890000,0.00794
17.9,323,0.404,2990000,0.00810
18.0,333,0.412,3090000,0.00826
18.1,344,0.420,3190000,0.00843
18.1,356,0.428,3300000,0.00859
18.2,367,0.436,3400000,0.00875
18.3,379,0.444,3520000,0.00892
18.4,391,0.452,3630000,0.00908
18.5,404,0.460,3740000,0.00923
18.6,416,0.468,3860000,0.00940
18.7,429,0.476,3970000,0.00955
18.8,442,0.484,4090000,0.00972
18.9,455,0.492,4220000,0.00988
19.0,468,0.500,4340000,0.0100
19.1,482,0.508,4470000,0.0102
19.2,496,0.516,4600000,0.0104
19.3,510,0.524,4730000,0.0105
19.4,525,0.532,4860000,0.0107
19.5,539,0.540,5000000,0.0108
19.6,554,0.548,5130000,0.0110
19.7,569,0.556,5270000,0.0112
19.8,584,0.564,5410000,0.0113
19.9,600,0.572,5560000,0.0115
20.0,617,0.581,5720000,0.0117
20.1,634,0.588,5880000,0.0118
20.2,657,0.596,6090000,0.0120
20.3,689,0.605,6390000,0.0121
20.4,719,0.612,6670000,0.0123
20.5,751,0.621,6960000,0.0125
20.6,780,0.629,7230000,0.0126
20.7,811,0.637,7510000,0.0128
